date,platform,campaign_name,impressions,clicks,spend,conversions,CTR,CPC
2024-01-01,Facebook,Brand_Awareness_Q1,45623,892,127.5,12,1.9551541985402099,0.1429372197309417
2024-01-01,Facebook,Conversions_Retargeting,12456,567,215.8,34,4.552023121387283,0.38059964726631396
2024-01-01,Facebook,Traffic_Drive_Jan,34567,1234,189.9,23,3.569878786125495,0.15388978930307942
2024-01-02,Facebook,Brand_Awareness_Q1,42345,823,118.2,10,1.9435588617310189,0.14362089914945322
2024-01-02,Facebook,Conversions_Retargeting,13678,623,234.5,38,4.554759467758444,0.37640449438202245
2024-01-02,Facebook,Traffic_Drive_Jan,36789,1345,201.3,25,3.6559841256897445,0.14966542750929368
2024-01-03,Facebook,Brand_Awareness_Q1,48234,967,134.8,14,2.00480988514326,0.1394002068252327
2024-01-03,Facebook,Conversions_Retargeting,11234,489,198.7,31,4.352857397187111,0.4063394683026585
2024-01-03,Facebook,Traffic_Drive_Jan,38901,1456,213.4,28,3.742834374437675,0.14656593406593407
2024-01-04,Facebook,Brand_Awareness_Q1,51234,1023,142.3,15,1.9967209275090758,0.13910068426197458
2024-01-04,Facebook,Conversions_Retargeting,14567,678,245.6,42,4.654355735566692,0.3622418879056047
2024-01-04,Facebook,Video_Views_Campaign,67890,234,89.5,5,0.344675209898365,0.38247863247863245
2024-01-05,Facebook,Brand_Awareness_Q1,46789,934,131.2,13,1.9961956870204536,0.14047109207708777
2024-01-05,Facebook,Conversions_Retargeting,12890,567,220.3,36,4.398758727695888,0.38853615520282186
2024-01-05,Facebook,Video_Views_Campaign,71234,256,94.8,6,0.35937894825504674,0.3703125
2024-01-06,Facebook,Brand_Awareness_Q1,44567,878,125.6,11,1.9700675387618642,0.1430523917995444
2024-01-06,Facebook,Traffic_Drive_Jan,35678,1289,195.6,24,3.612870676607433,0.1517455391776571
2024-01-06,Facebook,Video_Views_Campaign,69456,245,91.2,5,0.35274130384703983,0.3722448979591837
2024-01-07,Facebook,Brand_Awareness_Q1,49876,1067,145.9,16,2.139305477584409,0.13673851921274602
2024-01-07,Facebook,Conversions_Retargeting,13456,623,237.8,40,4.6299048751486325,0.38170144462279293
2024-01-07,Facebook,Traffic_Drive_Jan,37234,1367,207.9,27,3.671375624429285,0.15208485735186542
2024-01-08,Facebook,Brand_Awareness_Q1,47234,945,135.4,14,2.000677478087818,0.14328042328042329
2024-01-08,Facebook,Conversions_Retargeting,12123,534,212.4,35,4.404850284583024,0.39775280898876403
2024-01-08,Facebook,Video_Views_Campaign,73456,267,98.3,7,0.36348290132868655,0.36816479400749064
2024-01-09,Facebook,Brand_Awareness_Q1,50123,1012,141.7,15,2.019033178381182,0.1400197628458498
2024-01-09,Facebook,Traffic_Drive_Jan,36456,1312,199.8,26,3.598858898398069,0.15228658536585366
2024-01-09,Facebook,Video_Views_Campaign,70123,253,93.6,6,0.36079460376766537,0.36996047430830037
2024-01-10,Facebook,Brand_Awareness_Q1,48567,978,137.8,14,2.013713015010192,0.1408997955010225
2024-01-10,Facebook,Conversions_Retargeting,13789,645,241.2,41,4.677641598375517,0.373953488372093
2024-01-10,Facebook,Traffic_Drive_Jan,38456,1423,217.5,29,3.7003328479301016,0.1528460997891778
2024-01-11,Facebook,Brand_Awareness_Q1,52123,1089,148.6,17,2.0892887976517085,0.136455463728191
2024-01-11,Facebook,Conversions_Retargeting,14567,723,256.4,44,4.9632731516441275,0.35463347164591974
2024-01-11,Facebook,Traffic_Drive_Jan,39789,1534,225.8,31,3.855336902158888,0.14719687092568448
2024-01-11,Facebook,Video_Views_Campaign,76234,278,101.5,8,0.36466668415667547,0.36510791366906475
2024-01-12,Facebook,Brand_Awareness_Q1,49234,1012,140.3,15,2.055490108461632,0.13863636363636364
2024-01-12,Facebook,Conversions_Retargeting,13456,634,239.7,39,4.711652794292509,0.3780757097791798
2024-01-12,Facebook,Traffic_Drive_Jan,37890,1398,212.4,28,3.689627870150435,0.151931330472103
2024-01-12,Facebook,Video_Views_Campaign,72890,261,96.8,7,0.3580738098504596,0.3708812260536398
2024-01-13,Facebook,Brand_Awareness_Q1,42345,856,121.5,12,2.0214901405124572,0.1419392523364486
2024-01-13,Facebook,Conversions_Retargeting,11234,523,198.6,32,4.655510058750222,0.3797323135755258
2024-01-13,Facebook,Traffic_Drive_Jan,33456,1203,185.3,23,3.595767575322812,0.15403158769742312
2024-01-13,Facebook,Video_Views_Campaign,64567,238,83.4,5,0.3686093515263215,0.3504201680672269
2024-01-14,Facebook,Brand_Awareness_Q1,40123,798,114.7,11,1.9888841811429854,0.143734335839599
2024-01-14,Facebook,Conversions_Retargeting,10567,489,185.9,29,4.627614270843191,0.3801635991820041
2024-01-14,Facebook,Traffic_Drive_Jan,31234,1123,173.8,21,3.5954408657232504,0.15476402493321462
2024-01-14,Facebook,Video_Views_Campaign,61234,223,78.9,4,0.36417676454257436,0.35381165919282515
2024-01-15,Facebook,Brand_Awareness_Q1,46789,934,132.4,14,1.9961956870204536,0.1417558886509636
2024-01-15,Facebook,Conversions_Retargeting,12890,567,221.3,37,4.398758727695888,0.39029982363315696
2024-01-15,Facebook,Traffic_Drive_Jan,35678,1289,196.6,25,3.612870676607433,0.1525213343677269
2024-01-15,Facebook,Video_Views_Campaign,68456,248,87.6,6,0.36227649877293444,0.3532258064516129
2024-01-16,Facebook,Brand_Awareness_Q1,50234,1023,143.8,16,2.0364693235657128,0.14056695992179863
2024-01-16,Facebook,Conversions_Retargeting,14234,678,248.5,42,4.763242939440775,0.3665191740412979
2024-01-16,Facebook,Traffic_Drive_Jan,38456,1423,218.7,30,3.7003328479301016,0.15368938861560083
2024-01-16,Facebook,Video_Views_Campaign,73456,267,94.2,7,0.36348290132868655,0.35280898876404493
2024-01-17,Facebook,Brand_Awareness_Q1,51789,1089,152.3,18,2.1027631350286744,0.13985307621671259
2024-01-17,Facebook,Conversions_Retargeting,15234,734,264.7,46,4.818169883156099,0.3606267029972752
2024-01-17,Facebook,Traffic_Drive_Jan,40123,1534,232.8,33,3.823243526157067,0.1517601043024772
2024-01-17,Facebook,Video_Views_Campaign,75890,278,98.5,8,0.36631967321122677,0.35431654676258995
2024-01-18,Facebook,Brand_Awareness_Q1,49567,1012,144.6,16,2.0416809570883854,0.14288537549407115
2024-01-18,Facebook,Conversions_Retargeting,14567,689,253.4,43,4.729868881718954,0.36777939042089985
2024-01-18,Facebook,Traffic_Drive_Jan,38901,1456,224.5,31,3.742834374437675,0.15418956043956045
2024-01-18,Facebook,Video_Views_Campaign,72345,261,92.7,7,0.36077130416753056,0.35517241379310344
2024-01-19,Facebook,Brand_Awareness_Q1,47890,967,138.4,15,2.0192106911672583,0.14312306101344366
2024-01-19,Facebook,Conversions_Retargeting,13890,634,235.8,40,4.564434845212383,0.3719242902208202
2024-01-19,Facebook,Traffic_Drive_Jan,37234,1367,209.9,28,3.671375624429285,0.15354791514264815
2024-01-19,Facebook,Video_Views_Campaign,70123,253,89.4,6,0.36079460376766537,0.3533596837944664
2024-01-20,Facebook,Brand_Awareness_Q1,43234,878,125.7,13,2.030809085442013,0.14316628701594533
2024-01-20,Facebook,Conversions_Retargeting,11890,545,202.3,34,4.583683767872161,0.37119266055045874
2024-01-20,Facebook,Traffic_Drive_Jan,34567,1234,189.6,24,3.569878786125495,0.15364667747163696
2024-01-20,Facebook,Video_Views_Campaign,65234,234,81.2,5,0.35870864886408926,0.347008547008547
2024-01-21,Facebook,Brand_Awareness_Q1,41567,823,118.9,12,1.9799360069285732,0.14447144592952613
